"Source","Target","score"
"IMMP2L","SCHIZOPHRENIA",0.847910139896583
"CHRNA3","SCHIZOPHRENIA",0.843380612027017
"AL139300.1","SCHIZOPHRENIA",0.84272197607295
"FURIN","SCHIZOPHRENIA",0.830320973403887
"SNAP91","SCHIZOPHRENIA",0.806720430916372
"ATP2A2","SCHIZOPHRENIA",0.803897200505975
"HLA-DRB5","SCHIZOPHRENIA",0.800836568156389
"MUCL3","SCHIZOPHRENIA",0.787326475067851
"CNTN4","SCHIZOPHRENIA",0.776969599795774
"ADAMTSL3","SCHIZOPHRENIA",0.770128920285198
"BCL11A","SCHIZOPHRENIA",0.769206069256377
"LRRN2","SCHIZOPHRENIA",0.757427824953026
"SRPK2","SCHIZOPHRENIA",0.757402878362702
"PBRM1","SCHIZOPHRENIA",0.733039616762139
"C2","SCHIZOPHRENIA",0.73149785307387
"SNX19","SCHIZOPHRENIA",0.728209168072256
"SF3B1","SCHIZOPHRENIA",0.721908282867679
"BTN3A2","SCHIZOPHRENIA",0.720869001372264
"H2BC11","SCHIZOPHRENIA",0.720652637234508
"MAIP1","SCHIZOPHRENIA",0.718563970152227
"AL645941.2","SCHIZOPHRENIA",0.717403361454177
"H2BC15","SCHIZOPHRENIA",0.715905508380307
"FXR1","SCHIZOPHRENIA",0.715509966513251
"DGKI","SCHIZOPHRENIA",0.715204346723785
"HCN1","SCHIZOPHRENIA",0.71241499103581
"DGKZ","SCHIZOPHRENIA",0.711470891047684
"ZSWIM6","SCHIZOPHRENIA",0.707242258122905
"RPP21","SCHIZOPHRENIA",0.705529960365023
"H2BC13","SCHIZOPHRENIA",0.702877886804213
"OR12D3","SCHIZOPHRENIA",0.7
"CUL3","SCHIZOPHRENIA",0.698495534762733
"BNIP3L","SCHIZOPHRENIA",0.697562999030075
"SLC4A10","SCHIZOPHRENIA",0.697030501525522
"TAOK2","SCHIZOPHRENIA",0.693761046974803
"TSBP1","SCHIZOPHRENIA",0.692288542937065
"LETM2","SCHIZOPHRENIA",0.687670966687544
"DDR1","SCHIZOPHRENIA",0.686409902215542
"GPM6A","SCHIZOPHRENIA",0.686182797512631
"SMARCA2","SCHIZOPHRENIA",0.682867538118376
"SYNGAP1","SCHIZOPHRENIA",0.681031771266934
"OR14J1","SCHIZOPHRENIA",0.680555555555556
"ABCA13","SCHIZOPHRENIA",0.678690277777778
"AMBRA1","SCHIZOPHRENIA",0.678372955594047
"RGS6","SCHIZOPHRENIA",0.677180700092408
"EHMT1","SCHIZOPHRENIA",0.6682
"ZDHHC2","SCHIZOPHRENIA",0.665045786701508
"ZSCAN31","SCHIZOPHRENIA",0.663925
"PCDH17","SCHIZOPHRENIA",0.655425
"MDK","SCHIZOPHRENIA",0.654830254009122
"ZKSCAN4","SCHIZOPHRENIA",0.6545
"TRIM27","SCHIZOPHRENIA",0.65
"TRIM10","SCHIZOPHRENIA",0.65
"NEU1","SCHIZOPHRENIA",0.65
"ZKSCAN3","SCHIZOPHRENIA",0.65
"ZSCAN23","SCHIZOPHRENIA",0.65
"SLC17A3","SCHIZOPHRENIA",0.65
"RBM6","SCHIZOPHRENIA",0.65
"H2AC12","SCHIZOPHRENIA",0.648804879593496
"TMTC1","SCHIZOPHRENIA",0.64792024190687
"SRR","SCHIZOPHRENIA",0.646302555253339
"TNXB","SCHIZOPHRENIA",0.6461780095438
"SHMT2","SCHIZOPHRENIA",0.646101461264279
"PLCH2","SCHIZOPHRENIA",0.645526227761174
"GRAMD1B","SCHIZOPHRENIA",0.64108872490431
"HLA-DQA1","SCHIZOPHRENIA",0.639003326315069
"SATB2","SCHIZOPHRENIA",0.633381659854154
"TMEM219","SCHIZOPHRENIA",0.631424462577323
"CLCN3","SCHIZOPHRENIA",0.627063710493359
"SPATS2L","SCHIZOPHRENIA",0.626276380904467
"MAS1L","SCHIZOPHRENIA",0.625
"AKAP6","SCHIZOPHRENIA",0.618626657066307
"OR5V1","SCHIZOPHRENIA",0.618491412295481
"ITIH4","SCHIZOPHRENIA",0.614271635562856
"MEF2C","SCHIZOPHRENIA",0.613489141445346
"HSPA1L","SCHIZOPHRENIA",0.613330111111111
"GALNT10","SCHIZOPHRENIA",0.611259570531682
"ZNF536","SCHIZOPHRENIA",0.610344937880686
"RORA","SCHIZOPHRENIA",0.60920734572306
"PJA1","SCHIZOPHRENIA",0.603859733334741
"ZNF165","SCHIZOPHRENIA",0.602862513871409
"H2AC14","SCHIZOPHRENIA",0.6
"H2BC14","SCHIZOPHRENIA",0.6
"ETF1","SCHIZOPHRENIA",0.596225428309071
"POU5F1","SCHIZOPHRENIA",0.596149500072267
"PBX2","SCHIZOPHRENIA",0.592303219928431
"DAOA","SCHIZOPHRENIA",0.590950261131898
"MPP6","SCHIZOPHRENIA",0.588825037755072
"CALN1","SCHIZOPHRENIA",0.588493477535516
"HMGN4","SCHIZOPHRENIA",0.587958800173441
"MSH5","SCHIZOPHRENIA",0.587538558662148
"PRKD1","SCHIZOPHRENIA",0.587351281350616
"LRP1B","SCHIZOPHRENIA",0.58533884171364
"DNAJC19","SCHIZOPHRENIA",0.581142012786884
"VPS45","SCHIZOPHRENIA",0.581030061889915
"KDM4A","SCHIZOPHRENIA",0.579237667155215
"GID4","SCHIZOPHRENIA",0.576944822142777
"TRANK1","SCHIZOPHRENIA",0.576435762389428
"MAML3","SCHIZOPHRENIA",0.576377966478773
"PRRC2A","SCHIZOPHRENIA",0.573531333622401
"THOC7","SCHIZOPHRENIA",0.570855750663366
"AKT3","SCHIZOPHRENIA",0.568593827108359
"CSMD1","SCHIZOPHRENIA",0.566088038792957
"ZEB2","SCHIZOPHRENIA",0.565037823091893
"CPEB1","SCHIZOPHRENIA",0.562803160858592
"PPP1R10","SCHIZOPHRENIA",0.56
"KCNN2","SCHIZOPHRENIA",0.554174319630188
"KCNV1","SCHIZOPHRENIA",0.554005978345254
"MRTFA","SCHIZOPHRENIA",0.551323650518944
"MMP16","SCHIZOPHRENIA",0.549773479101552
"RGS4","SCHIZOPHRENIA",0.548054230277676
"ZSCAN9","SCHIZOPHRENIA",0.547762950296295
"HLA-DMB","SCHIZOPHRENIA",0.547269987279363
"SYN2","SCHIZOPHRENIA",0.544440405514957
"EMX1","SCHIZOPHRENIA",0.539209666875438
"NKAPL","SCHIZOPHRENIA",0.537621315955797
"DAO","SCHIZOPHRENIA",0.537166690891632
"FAM184A","SCHIZOPHRENIA",0.535540221520979
"NMUR2","SCHIZOPHRENIA",0.534789305217432
"BCL11B","SCHIZOPHRENIA",0.534283084941437
"MSRA","SCHIZOPHRENIA",0.531554225197781
"GATAD2A","SCHIZOPHRENIA",0.530237785938006
"HLA-DMA","SCHIZOPHRENIA",0.528052287530349
"YWHAE","SCHIZOPHRENIA",0.527587820533461
"SLC17A4","SCHIZOPHRENIA",0.526712418266049
"ERCC4","SCHIZOPHRENIA",0.52664770265416
"PCNX1","SCHIZOPHRENIA",0.518441693876568
"TRIM8","SCHIZOPHRENIA",0.518416375079047
"MAN2A1","SCHIZOPHRENIA",0.517528302897196
"ATF7IP","SCHIZOPHRENIA",0.51500800574345
"PTGIS","SCHIZOPHRENIA",0.511248229340121
"ATXN7","SCHIZOPHRENIA",0.510844771233179
"LSM1","SCHIZOPHRENIA",0.509166666666667
"IP6K3","SCHIZOPHRENIA",0.506955366854561
"KCNG2","SCHIZOPHRENIA",0.505608703268671
"SPATA31D1","SCHIZOPHRENIA",0.505197199727523
"PTN","SCHIZOPHRENIA",0.503975
"CA8","SCHIZOPHRENIA",0.502427919489562
"ZNF311","SCHIZOPHRENIA",0.5017
"TPH2","UNIPOLAR DEPRESSION",1
"KCNK2","UNIPOLAR DEPRESSION",1
"TACR1","UNIPOLAR DEPRESSION",1
"AR","UNIPOLAR DEPRESSION",1
"KCNK9","UNIPOLAR DEPRESSION",1
"BHMT","UNIPOLAR DEPRESSION",1
"IL2RA","UNIPOLAR DEPRESSION",1
"KCNK10","UNIPOLAR DEPRESSION",1
"DENND1B","UNIPOLAR DEPRESSION",1
"CHRNG","UNIPOLAR DEPRESSION",1
"KCNK18","UNIPOLAR DEPRESSION",1
"KCNK3","UNIPOLAR DEPRESSION",1
"CHRNB1","UNIPOLAR DEPRESSION",1
"FDPS","UNIPOLAR DEPRESSION",1
"GLRA1","UNIPOLAR DEPRESSION",1
"CHRNA1","UNIPOLAR DEPRESSION",1
"CHRND","UNIPOLAR DEPRESSION",1
"BHMT2","UNIPOLAR DEPRESSION",1
"CHRNE","UNIPOLAR DEPRESSION",1
"IL2RB","UNIPOLAR DEPRESSION",1
"RBFOX1","UNIPOLAR DEPRESSION",0.928184159117313
"GRM5","UNIPOLAR DEPRESSION",0.911247185462229
"SORCS3","UNIPOLAR DEPRESSION",0.891692955716723
"OLFM4","UNIPOLAR DEPRESSION",0.878287985526873
"TMEM106B","UNIPOLAR DEPRESSION",0.876371242901015
"ELAVL2","UNIPOLAR DEPRESSION",0.873659001291271
"CELF4","UNIPOLAR DEPRESSION",0.869218660091445
"PCDH9","UNIPOLAR DEPRESSION",0.860748263269822
"TMEM161B","UNIPOLAR DEPRESSION",0.812186111111111
"KIAA1109","UNIPOLAR DEPRESSION",0.805032077798655
"RSRC1","UNIPOLAR DEPRESSION",0.804357184431555
"SPPL3","UNIPOLAR DEPRESSION",0.782528370928284
"PAX5","UNIPOLAR DEPRESSION",0.769571563004717
"CTTNBP2","UNIPOLAR DEPRESSION",0.748586814815988
"LRFN5","UNIPOLAR DEPRESSION",0.74202775678476
"PCLO","UNIPOLAR DEPRESSION",0.740506902763077
"SHISA9","UNIPOLAR DEPRESSION",0.733405508380307
