external_gene_id,Module.name,kME.CD1.turquoise,kME.CD2.blue,kME.CD3.brown,kME.CD4.yellow,kME.CD5.green,kME.CD6.red,kME.CD7.black,kME.CD8.pink,kME.CD9.magenta,kME.CD10.purple,kME.CD11.greenyellow,kME.CD12.tan,kME.CD13.salmon
ADCY3,CD0,"0,246549607","-0,103006547","-0,067658151","-0,000378261","-0,022614504","0,10632005","-0,040140796","0,211678376","0,258675296","0,056652764","-0,00796677","0,157466578","0,145544633"
PPM1B,CD7,"-0,212802853","-0,426610208","0,447950954","0,205718166","0,20729869","-0,359184572","0,55965858","-0,37992731","-0,000746311","-0,030016903","0,007552296","-0,20808372","0,023750899"
DYNC2LI1,CD5,"0,075470758","-0,351595844","-0,081512858","-0,222946841","0,574387714","-0,392267182","0,432266667","-0,343678707","-0,29659179","0,389259114","-0,14693418","-0,068662768","0,396166601"
LHCGR,CD0,"-0,099746317","0,289159884","-0,084684002","0,055213852","-0,221400289","0,208810124","-0,195186262","0,101752239","-0,041556421","-0,207936733","0,019673812","0,169549395","-0,134766747"
THUMPD2,CD0,"0,095268067","-0,376167354","0,180696474","0,005414576","0,311461311","-0,355881545","0,396076499","-0,220962182","0,094608955","0,220179664","0,041021928","-0,123138598","0,216568017"
CYP1B1,CD12,"-0,006303963","-0,091058903","-0,092260194","-0,00799782","0,092769869","-0,054532294","0,064407811","-0,041578755","-0,083238501","0,027995412","0,197004699","0,475045554","0,039466072"
RAB1A,CD5,"-0,133376721","-0,411912896","-0,00816168","-0,189546397","0,750456065","-0,514694797","0,679014952","-0,590372632","-0,528733212","0,379911699","-0,062948329","-0,092711839","0,404996423"
ACTR2,CD5,"0,01146375","-0,472398844","0,044071542","-0,173373931","0,62325324","-0,416125461","0,559107109","-0,445166283","-0,309281913","0,39014382","-0,044023597","-0,210877718","0,429609625"
PREB,CD1,"0,336481829","-0,213350873","0,213961848","-0,037586265","0,113589585","-0,146708884","0,132239417","0,132385992","0,448303644","0,311405093","0,021374856","-0,068543928","0,107103759"
SLC5A6,CD0,"0,136995817","0,047996353","0,025291061","0,02601219","-0,114229803","0,005796969","-0,122462154","0,12122445","0,245576313","0,031072564","0,167733204","0,231722364","0,022398242"
ABCG5,CD0,"0,122064453","0,20366792","-0,159373143","-0,084078306","-0,055929098","0,13771033","-0,177480852","0,18877337","0,076716311","0,042465259","-0,129469569","0,070450679","0,054221867"
